epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,78.6398,0.99515,1.0299,0.80369,0.56022,0.80851,0.65665,0.52129,1.14201,1.08384,0.83182,0.000660003,0.000660003,0.000660003
70,79.2485,1.01812,1.13715,0.85314,0.55223,0.78708,0.65668,0.54227,1.19512,1.09846,0.82975,0.000655003,0.000655003,0.000655003
71,79.7573,0.98924,1.03539,0.79662,0.40557,0.77404,0.65484,0.51839,1.1899,1.10604,0.83083,0.000650003,0.000650003,0.000650003
72,80.2826,0.96247,1.02876,0.81767,0.40557,0.77404,0.65484,0.51839,1.1899,1.10604,0.83083,0.000645004,0.000645004,0.000645004
73,80.7841,0.92797,1.02874,0.84176,0.57427,0.62893,0.65385,0.5144,1.18297,1.07617,0.8349,0.000640004,0.000640004,0.000640004
74,81.276,0.93598,1.01834,0.8561,0.57427,0.62893,0.65385,0.5144,1.18297,1.07617,0.8349,0.000635004,0.000635004,0.000635004
75,81.8809,0.93921,0.9324,0.81435,0.58648,0.75728,0.68942,0.5506,1.14554,0.99351,0.82898,0.000630004,0.000630004,0.000630004
76,82.3961,0.94209,0.966,0.80925,0.55098,0.82614,0.66788,0.54547,1.06811,0.98263,0.82092,0.000625004,0.000625004,0.000625004
77,82.9207,0.93412,0.98096,0.83404,0.55098,0.82614,0.66788,0.54547,1.06811,0.98263,0.82092,0.000620004,0.000620004,0.000620004
78,83.4229,0.94111,0.98238,0.82084,0.76649,0.51509,0.65781,0.53564,1.05045,1.01594,0.81755,0.000615004,0.000615004,0.000615004
79,84.0192,0.95146,1.01216,0.851,0.6399,0.5282,0.64342,0.53749,1.04454,1.06609,0.81663,0.000610004,0.000610004,0.000610004
80,84.5137,0.87995,0.96874,0.85239,0.6399,0.5282,0.64342,0.53749,1.04454,1.06609,0.81663,0.000605004,0.000605004,0.000605004
81,85.0126,0.91337,0.9533,0.79746,0.62991,0.52604,0.63555,0.5313,1.06957,1.14335,0.8164,0.000600004,0.000600004,0.000600004
82,85.5126,0.89576,0.93068,0.82336,0.62991,0.52604,0.63555,0.5313,1.06957,1.14335,0.8164,0.000595004,0.000595004,0.000595004
83,86.0835,0.967,0.98016,0.83022,0.57324,0.67248,0.64375,0.5221,1.10884,1.17601,0.81605,0.000590004,0.000590004,0.000590004
84,86.5889,0.93973,0.94222,0.80143,0.58243,0.66833,0.65647,0.53527,1.15088,1.19369,0.82523,0.000585004,0.000585004,0.000585004
85,87.0802,0.89142,0.97565,0.81426,0.58243,0.66833,0.65647,0.53527,1.15088,1.19369,0.82523,0.000580004,0.000580004,0.000580004
86,87.5753,0.95571,0.95011,0.84471,0.62748,0.69063,0.61678,0.47693,1.18406,1.12932,0.83061,0.000575004,0.000575004,0.000575004
87,88.0736,1.03129,0.99568,0.83602,0.6079,0.62898,0.59206,0.45551,1.16502,1.08499,0.82914,0.000570004,0.000570004,0.000570004
88,88.6263,0.83539,0.96378,0.79351,0.6079,0.62898,0.59206,0.45551,1.16502,1.08499,0.82914,0.000565004,0.000565004,0.000565004
89,89.1256,0.80047,0.84905,0.80567,0.60086,0.63629,0.67125,0.53041,1.13094,1.05396,0.82096,0.000560004,0.000560004,0.000560004
90,89.6145,0.88741,0.88742,0.84131,0.60086,0.63629,0.67125,0.53041,1.13094,1.05396,0.82096,0.000555004,0.000555004,0.000555004
91,90.1184,0.93481,0.86886,0.84499,0.6087,0.63845,0.67945,0.55909,1.08362,1.02556,0.81669,0.000550005,0.000550005,0.000550005
92,90.6396,1.01838,0.95054,0.87746,0.65902,0.66762,0.68977,0.56602,1.07996,1.01517,0.8183,0.000545005,0.000545005,0.000545005
93,91.2062,0.84723,0.90412,0.81566,0.65902,0.66762,0.68977,0.56602,1.07996,1.01517,0.8183,0.000540005,0.000540005,0.000540005
94,91.7137,0.88545,0.92112,0.83843,0.64552,0.68696,0.68279,0.5369,1.10263,1.03634,0.82307,0.000535005,0.000535005,0.000535005
95,92.2157,0.87727,0.87408,0.81648,0.63734,0.704,0.68875,0.53904,1.10491,1.07523,0.82138,0.000530005,0.000530005,0.000530005
96,92.7026,0.91045,0.94558,0.83118,0.63734,0.704,0.68875,0.53904,1.10491,1.07523,0.82138,0.000525005,0.000525005,0.000525005
97,93.2015,0.87551,0.87956,0.81825,0.61746,0.71592,0.69497,0.54669,1.1085,1.10001,0.82278,0.000520005,0.000520005,0.000520005
98,93.7676,0.88057,0.82199,0.81066,0.61746,0.71592,0.69497,0.54669,1.1085,1.10001,0.82278,0.000515005,0.000515005,0.000515005
99,94.2655,0.89366,0.8793,0.81129,0.56473,0.77965,0.6749,0.53312,1.11345,1.08877,0.82193,0.000510005,0.000510005,0.000510005
100,94.7752,0.85797,0.87319,0.80264,0.57242,0.81445,0.68604,0.54084,1.10014,1.08622,0.82036,0.000505005,0.000505005,0.000505005
101,95.2617,0.912,0.85419,0.81209,0.57242,0.81445,0.68604,0.54084,1.10014,1.08622,0.82036,0.000500005,0.000500005,0.000500005
102,95.7811,0.88579,0.89822,0.83773,0.61262,0.83189,0.70557,0.55658,1.0948,1.05749,0.82013,0.000495005,0.000495005,0.000495005
103,96.4012,0.86427,0.89393,0.80719,0.63067,0.8413,0.70355,0.56114,1.093,1.03474,0.82004,0.000490005,0.000490005,0.000490005
104,96.8952,0.83172,0.85826,0.8135,0.63067,0.8413,0.70355,0.56114,1.093,1.03474,0.82004,0.000485005,0.000485005,0.000485005
105,97.3938,0.92556,0.86214,0.83473,0.64077,0.83401,0.70099,0.5882,1.07145,0.99609,0.81966,0.000480005,0.000480005,0.000480005
106,97.8948,0.83595,0.81124,0.79878,0.64077,0.83401,0.70099,0.5882,1.07145,0.99609,0.81966,0.000475005,0.000475005,0.000475005
107,98.5127,0.84449,0.77515,0.83211,0.67059,0.83497,0.70016,0.59653,1.05551,0.96062,0.81774,0.000470005,0.000470005,0.000470005
108,99.0562,0.88341,0.80795,0.82543,0.70391,0.82777,0.73112,0.62284,1.03089,0.93116,0.81262,0.000465005,0.000465005,0.000465005
109,99.5985,0.83983,0.80315,0.78555,0.70391,0.82777,0.73112,0.62284,1.03089,0.93116,0.81262,0.000460005,0.000460005,0.000460005
110,100.146,0.84281,0.80921,0.81437,0.71356,0.82667,0.73174,0.60704,1.05364,0.94414,0.80881,0.000455005,0.000455005,0.000455005
111,100.689,0.83932,0.9527,0.78174,0.71367,0.82914,0.73265,0.59464,1.10526,0.93361,0.81147,0.000450006,0.000450006,0.000450006
112,101.304,0.8804,0.80609,0.82558,0.71367,0.82914,0.73265,0.59464,1.10526,0.93361,0.81147,0.000445006,0.000445006,0.000445006
113,101.81,0.81078,0.79293,0.80941,0.69701,0.83537,0.7345,0.57119,1.11921,0.92282,0.81343,0.000440006,0.000440006,0.000440006
114,102.334,0.81937,0.80545,0.80583,0.69701,0.83537,0.7345,0.57119,1.11921,0.92282,0.81343,0.000435006,0.000435006,0.000435006
115,102.837,0.78121,0.76343,0.80679,0.69588,0.83486,0.70512,0.55068,1.14026,0.91782,0.81653,0.000430006,0.000430006,0.000430006
116,103.342,0.82971,0.79549,0.8084,0.70687,0.83622,0.70698,0.58295,1.12915,0.90473,0.81859,0.000425006,0.000425006,0.000425006
117,103.902,0.8199,0.78206,0.78877,0.70687,0.83622,0.70698,0.58295,1.12915,0.90473,0.81859,0.000420006,0.000420006,0.000420006
118,104.4,0.86946,0.76557,0.82644,0.71528,0.83482,0.70696,0.57286,1.09237,0.89494,0.81985,0.000415006,0.000415006,0.000415006
119,104.903,0.7922,0.78792,0.82701,0.71773,0.83105,0.70703,0.56705,1.09822,0.93107,0.8249,0.000410006,0.000410006,0.000410006
120,105.391,0.78238,0.71238,0.81528,0.71773,0.83105,0.70703,0.56705,1.09822,0.93107,0.8249,0.000405006,0.000405006,0.000405006
121,105.934,0.85435,0.78456,0.81066,0.71884,0.83087,0.70431,0.57581,1.09988,0.97239,0.82688,0.000400006,0.000400006,0.000400006
122,106.426,0.7206,0.72771,0.80992,0.71884,0.83087,0.70431,0.57581,1.09988,0.97239,0.82688,0.000395006,0.000395006,0.000395006
123,106.972,0.90148,0.77507,0.82558,0.69469,0.84061,0.72318,0.58522,1.10052,0.97548,0.8283,0.000390006,0.000390006,0.000390006
124,107.475,0.79106,0.75739,0.79613,0.67582,0.83654,0.78359,0.62398,1.10554,0.9842,0.82997,0.000385006,0.000385006,0.000385006
125,108.024,0.82532,0.76772,0.78825,0.67582,0.83654,0.78359,0.62398,1.10554,0.9842,0.82997,0.000380006,0.000380006,0.000380006
126,108.602,0.81262,0.86537,0.80259,0.66825,0.83654,0.71983,0.56791,1.10609,0.97471,0.82755,0.000375006,0.000375006,0.000375006
127,109.157,0.84742,0.75417,0.79333,0.6608,0.83654,0.79496,0.62105,1.1153,0.98864,0.82855,0.000370006,0.000370006,0.000370006
